Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
Oxford University Press,Jim Corbett,"This book, dedicated to the 'poor of India', sketches with sympathy and concern, village India's life, traditions, and folklore. These stories reflect Corbett's intense love for India, her people, and her flora and fauna. Engaging and deeply evocative, My India is an indispensable supplement for anyone who has enjoyed reading Corbett.Table Of Contents    Introduction    The Queen of the Village    Kunwar Singh    Mothi    Pre-Red Tape Days    The Law of the Jungles    The Brothers    Sultana: India's Robin Hood    Loyalty    Budhu    Lalajee    Chamari    Life at Mokameh Ghat",1997,019562341X,9780195623413,My India ,"Rs. 1,120.00",Paperback,188,8.5 x 5.43 x 0.51 inches
-,-,,-,-,-,My Own Prison,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,My Spiritual Autobiography [Hardcover],"Rs. 2,700.00",-,-,-
Harper,Annie Groves,"An emotional portrayal of the lives of four women as Valentine's day approaches, in 1941 wartime London",2012-02-02,000736153X,9780007361533,My Sweet Valentine,"Rs. 1,350.00",Paperback,400,-
Eastern Book Linkers,P K Kaul,"This book, 'Nag Sen of Milind Panho' has been evaluated the ancient antiquity of mountain Valleys of Chinab, particularly that of Kashtwar and, its contribution to the evolution of Buddhism in the light of Nag Sen's biographical sketch. This book includes an introduction on Milind Panho, Menander and on the Capital of Menander as per Milind Panho, and also includes explanations on all the historical, geographical, archeological, numismatic, ethnic, linguistic and religious evidences. This book has been given thorough explanations on the connected sites, monuments and their archeological details relating to the topic.",1996,8186339183,-,Nag Sen Of Milind Panho ,Rs. 770.00,-,145,-
Kingfisher Books Ltd,Andrew Langley,"""Kingfisher Knowledge"" is a groundbreaking series for readers hungry for information on today's hot topics. Lively, engaging text, packed with information, accompanies stunning photographs that enhance each chapter. Amazing, state-of-the-art digital artwork guides readers into the fascinating heart of the subject. This learning adventure does not stop there - information panels throughout lead the reader to further discovery. Each chapter offers website links, book lists, places to visit and career information. ""Natural Disasters"" details the most catastrophic natural events that have shocked the world since history began. These are events that people have no control over - the sheer power of monster waves, booming avalanches, ground-shattering earthquakes, unstoppable floods, terrifying tornadoes and raging bushfires. Discover how rescue teams operate, and how experts try to predict and prevent disaster.",-,753413051,-,Natural Disasters,Rs. 785.00,Hardcover,64,282x238x12mm
HarperCollins Children's Books,Rook Hastings,"""Ive seen a ghost,"" said Emily. ""Well, not seen one exactly. Heard one. At least, I think I have…"" Everything has a rational explanation. Unless it doesnt. Welcome to Weirdsville… Woodsville is not like other towns. Night falls a little earlier there, the shadows are darker and denser, and everyone knows its a place where strange things happen. Even if they wont admit it. Bethan would prefer to be anywhere but here. Jay has his theories, but isnt ready to share. Hashim sees more than hell say, while Kellys demons are all too flesh and blood. But Emilys freak-out brings them out of denial and face to face with the supernatural. Anywhere else, Friday night would be date night. But not in Weirdsville…",27 May 2010,7384629,9780007384624,Nearly Departed,"Rs. 1,600.00",Paperback,272,-
Harper collins,Agatha Christie,,2002,7299761,9780007299768,Nemesis,"Rs. 1,180.00",Paperback,-,-
-,-,,-,-,-,Nessun Dorma - Arias and Duets,Rs. 800.00,-,-,-
Hachette,Chevy Stevens,What if murder was in your blood?,-,-,9780751545685,Never Knowing,Rs. 970.00,-,485,135mmX125
Grapevine India Publishers Pvt. Ltd.,Sachin Garg,,2011,9381841006,9789381841006,Never Let Me Go... ,Rs. 760.00,Paperback,-,-
Harper Collins, Joseph O Connor,"A practical, creative guidebook to achieving the results you want using Neuro Linguistinc Programming techniques",2001,7100035,9780007100033,NLP Workbook: A Practical Guide to Achieving the Results You Want,"Rs. 4,000.00",Paperback,294,-
-,-,,-,-,-,No One Would Listen: A True Financial Thriller [Hardcover],"Rs. 3,500.00",-,-,-
Public Affairs," Richard Dobbs,James Manyika,Jonathan Woetzel","Our intuition on how the world works could well be wrong. We are surprised when new competitors burst on the scene, or businesses protected by large and deep moats find their defenses easily breached, or vast new markets are conjured from nothing. Trend lines resemble saw-tooth mountain ridges. The world not only feels different. The data tell us it is different. Based on years of research by the directors of the McKinsey Global Institute, No Ordinary Disruption: The Four Forces Breaking all the Trends is a timely and important analysis of how we need to reset our intuition as a result of four forces colliding and transforming the global economy: the rise of emerging markets, the accelerating impact of technology on the natural forces of market competition, an aging world population, and accelerating flows of trade, capital and people. Our intuitions formed during a uniquely benign period for the world economy--often termed the Great Moderation. Asset prices were rising, cost of capital was falling, labour and resources were abundant, and generation after generation was growing up more prosperous than their parents. But the Great Moderation has gone. The cost of capital may rise. The price of everything from grain to steel may become more volatile. The world's labor force could shrink. Individuals, particularly those with low job skills, are at risk of growing up poorer than their parents. What sets No Ordinary Disruption apart is depth of analysis combined with lively writing informed by surprising, memorable insights that enable us to quickly grasp the disruptive forces at work. For evidence of the shift to emerging markets, consider the startling fact that, by 2025, a single regional city in China--Tianjin--will have a GDP equal to that of the Sweden, of that, in the decades ahead, half of the world's economic growth will come from 440 cities including Kumasi in Ghana or Santa Carina in Brazil that most executives today would be hard-pressed to locate on a map. What we are now seeing is no ordinary disruption but the new facts of business life-- facts that require executives and leaders at all levels to reset their operating assumptions and management intuition.",2015-06-10,1610395794,9781610395793,No Ordinary Disruption: The Four Global Forces Breaking All the Trends,"Rs. 3,050.00",Hardcover,288,-
-,RAUF SHELDRAKE,,-,9555184205,-,NOBLE WAR GAMES ,Rs. 700.00,-,240,-
Liturgical Press,Bishop Robert F. Morneau,"Find spiritual sustenance for the season of Lent in Bishop Morneaus reflections on the daily Mass readings. Not by Bread Alone offers a short collection of insightful meditations that focus on Lenten themes of repentance and redemption, sacrifice and salvationas well as the Easter promise of resurrection and new life. With Scripture as the foundation for each days brief entry, readers will find th",31 January 2012,814633560,9780814633564,Not by Bread Alone 2012 2012: Daily Reflections for Lent 2012,"Rs. 1,900.00",Paperback,104,19.6 x 15 x 0.8 cm
Harper Collins Publishers Ind Ltd.,"Mary-kate Olsen, Ashley Olsen","Mary-Kate and Ashley have great tricks ready for the Harrington Magic Show. They're sure to be a hit. But before show time, Ashley's partner leaves her trapped in a box and Mary-Kate's mind-reading horse disappears. The girls are going to need some real magic to get out of this one!",2003,7144466,9780007144464,"Now You See Him, Now You Don't (Two of a Kind Diaries)",Rs. 850.00,Paperback,112,-
"Shroff,o'reilly",Bill Hamilton,"Few .NET developers have the luxury of unlimited code testing once their application is complete, and rushing through the testing process is both problematic and stressful. The open source NUnit framework provides an excellent and efficient way to test and improve .NET code as it\'s written, saving hundreds of QA hours and headaches.",2004,8173667845,9788173667848,Nunit Pocket REference,Rs. 330.00,Paperback,100,-
-,-,,-,-,-,Nylon Curtain,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Obama's Wars: The Inside Story [Hardcover],"Rs. 3,000.00",-,-,-
-,-,,-,-,-,Of Thee I Sing: A Letter to My Daughters [Hardcover],"Rs. 1,600.00",-,-,-
S. Godage & Brothers,Sakuntala Sachithanadan,"""Poetry took the prize when Sakuntala Sachithanandan won the 2010 Gratiaen for her collection ‘On the Streets and other Revelations’. Published by Godage, the collection of poems was praised by the panel of judges for its engagement with social issues and its emphasis on values such as justice and fair-play. Better known for her work as an author of children’s stories such as ‘Tales from the Treehouse, ’ Sakuntala appears to have come into her own as a poet with last night’s win."" Sakuntala was educated at Visakha Vidyala, Colombo, qualified as a lawyer at the Sri Lanka Law College, and is married to Thirukeswaram Sachithanandan, also a lawyer. She is fond of children, animals, reading, writing, painting, gardening and teaching children. She has published the children's book, Tales From The Tree House, and another children's book, The Adventures of Sokadi The Line-Room Mouse, is in the process of being published.",2010,-,9789553029409,On the Streets and Other Revelations,Rs. 425.00,-,64,5.5 x 8.5
-,-,,-,-,-,Only One Like Me,Rs. 800.00,-,-,-
Courage Books,Bruce Curtis,,2005-11-08,762424567,9780762424566,Orchids (Hardcover),"Rs. 3,000.00",Hardcover,96,22.4 x 22.5 x 1.5 cm
-,-,,-,-,-,Order - Netherlands (Jayantha),"Rs. 27,520.00",-,-,-
WILEY PUBLICATION,MICHAEL A.HITT/C.CHEAT MILLER/ADRIENNE COLELLA,,-,8126508655,-,ORGANIZATIONAL BEHAVIOR ,"Rs. 1,400.00",-,590,-
Betterway Books,Tsh Oxenreider,,2010-12-10,1440302634,978-1440302633,Organized Simplicity: A Clutter-Free Approach to Intentional Liv,"Rs. 2,440.00",Hardcover-spiral,-,-
Hachette India,Ratika Kapur,,2012,-,9789350092637,Overwinter,"Rs. 1,725.00",Hardcover,248,-
-,-,,-,-,9780194798815,Oxford Advance Learners Dictionary - 9th edition,"Rs. 2,500.00",-,1500,-
Oxford University Press,Elizabeth Knowles,,2009-11-23,199237174,9780199237173,Oxford Dictionary of Quotations,"Rs. 7,500.00",Hardcover,-,7 x 2.6 x 9.5 inches
-,-,,-,-,-,Painkiller,"Rs. 1,100.00",-,-,-
Perseus Books,Mary Woodin,,2005-03-16,Mary Woodin,9780762423545,Painted Garden (Hardcover),"Rs. 1,485.00",Hardcover,96,22 x 22 x 1.8 cm
-,-,,-,-,-,"PANPIPES FOR LOVERS 12 CD COLLECTORS, VARIOUS","Rs. 4,000.00",-,-,-
SRI SERENDIPITY PUBLISHING,Juliet Coombe,,-,-,9789550392087,Paradise Exorcised Sri Lanka. Insider's Guide,"Rs. 2,800.00",-,129,150mm X 210mm
Running Press Book Publishers,Charles M. Schulz,,2005-04-06,762423374,9780762423378,Peanuts Guide To Life (Hardcover),"Rs. 1,870.00",Hardcover,128,16 x 16 x 1.5 cm
Penguin,Ruskin Bond,,2003-03-30,140240667,9780140240665,Penguin Book Of Indian Railway Stories,"Rs. 1,000.00",Paperback,184,7.6 x 5.1 x 0.5 inches
harper collins,Agatha Christie,"Agatha Christie's ingenious murder mystery, reissued with a striking new cover designed to appeal to the latest generation of Agatha Christie fans and book lovers. Nick Buckley was an unusual name for a pretty young woman. But then she had led an unusual life. First, on a treacherous Cornish hillside, the brakes on her car failed. Then, on a coastal path, a falling boulder missed her by inches. Later, an oil painting fell and almost crushed her in bed. Upon discovering a bullet-hole in Nick's sun hat, Hercule Poirot decides the girl needs his protection. At the same time, he begins to unravel the mystery of a murder that hasn't been committed. Yet.",2001,7282656,9780007282654,Peril At End House,"Rs. 1,180.00",Paperback,-,-
HarperVoyager,Terry Goodkind,"From internationally bestselling author Terry Goodkind, comes this outstanding epic adventure set in the captivating world of his classic Sword of Truth novels.",Jun 2007,7145659,9780007145652,Phantom ,"Rs. 1,650.00",Paperback,643,6.93 x 4.45 x 1.46 inches
godage International publishers,Ananda Meegama,,2008,-,9789553007933,PHILIP GUNAWARDANA AND THE REVOLUTION IN SRI LANKA,Rs. 800.00,-,679,19*25
Harper Collins,Anna Selby,Martha Ann Selby is Assistant Professor of South Asian Studies at the University of Texas at Austin.,2008,7277865,9780007277865,Pilates for Pregnancy: Gentle and Effective Techniques! for Before and After Birth,"Rs. 1,055.00",Paperback,176,-
Hodder & Stoughton Ltd,Margot Campbell,Sculpt your body in 14 days,05 January 2012,1444738909,9781444738902,Pilates on the Go ,"Rs. 3,230.00",Paperback,192,-
-,-,,-,-,-,Pink Flamingoes And Other Filth: Three Screenplays By John Water,"Rs. 2,300.00",-,-,-
"Running Press,U.S",Pat Croce,,2006-09-19,762427566,9780762427567,Pirate Soul (Hardcover),"Rs. 3,940.00",Hardcover,-,29.2 x 25.4 x 3 cm
-,-,,-,-,-,Points: The Relationship Survival Guide For People Who Don't Lik,"Rs. 7,300.00",-,-,-
-,-,,-,-,-,Pop Trash,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Port Mortuary (Kay Scarpetta Mysteries) [Hardcover],"Rs. 2,560.00",-,-,-
-,-,,-,-,-,"Pottymouth: Profane Poetry, Recess Rhymes, And Other Dirty Ditti","Rs. 1,500.00",-,-,-
-,-,,-,-,-,Practical Suggestions For Mother And Housewife: The 1910 Classic,"Rs. 1,700.00",-,-,-
Godage International Publishers,Bhikkhuni Sudinna,,2010,-,9789553024084,Precious Tales 2,Rs. 550.00,-,32,21.0 x 29.0
"Primal Nutrition, Inc",Mark Sisson,"A 21-day step-by-step guide to transforming your body forever, using the proven principles of the book ""The Primal Blueprint"". It helps you to achieve your genetic ideal weight, energy levels and physical tone and understand which workouts provide the best results with the least effort - and when to do them.",15 January 2012,982207778,9780982207772,"Primal Blueprint 21-Day Total Body Transformation: A Step-by-Step, Gene Reprogramming Action Plan","Rs. 3,475.00",Paperback,180,27.7 x 21.3 x 1.4 cm
Viva,Abhijit Mallick,,2010,8130914719,9788130914718,Principles Of Engineering Metallurgy,"Rs. 2,365.00",-,-,-
Watson-Guptill Publications,Dwight Pogue,,2012-08-05,823008126,9780823008124,Printmaking Revolution,"Rs. 7,900.00",Hard cover,240,-
CENTURY - LONDON,James Patterson,,-,-,9781846057561,Private,"Rs. 1,170.00",-,401,155mmX235mm
Little Brown and Company,"James Patterson,Maxine Paetro,","Since former Marine helicopter pilot Jack Morgan started Private, it has become one of the world's most powerful investigation firms, sought out by the rich and famous to discretely handle their most sensitive problems. Private's investigators are the smartest, the fastest, and the most technologically advanced in the world--and they always uncover the truth. When a former lover is found murdered ...",02 January 2012,316196312,9780316196314,Private: #1 Suspect ,"Rs. 4,180.00",Hardcover,496,16.5 x 3.8 x 24.8 cm
Cbs,Experienced Teachers,,2009-12-01,8123905599,9788123905594,Problems And Solutions Of Eng Electromagnetics,Rs. 545.00,Paperback,543,-
EILEEN HEWSON,COMPILED BY EILEEN HEWSON,,-,-,1906276263,PROTESTANT MARRIAGES ,"Rs. 1,700.00",-,37,-
Harper Collins Publishers Ind Ltd,"Mary-kate Olsen, Ashley Olsen","Written in diary format this title features excerpts from the twins' letters and e-mails to one another. Mary-Kate has decided to move back to Chicago, but Ashley refuses to leave their new boarding school. The twins have never been apart before - how will they cope?",2002,7144709,9780007144709,PS Wish You Were Here (Two of a Kind Diaries) ,Rs. 850.00,Paperback,112,-
-,-,,-,-,-,Psychology: The Science of Mind and Behaviour [Paperback],"Rs. 5,760.00",-,-,-
Atlantic Books,"Michel Houellebecq,Bernard-Henri Levy","In 2008, two of the most celebrated of French intellectuals began a ferocious exchange of letters. In their inimitably confrontational correspondence, they lock horns on everything, including literature, sex, politics, family, fame and even - naturally - themselves. This title features their letters.",2011-12-01,1848871589,9781848871588,Public Enemies ,"Rs. 3,940.00",Hardcover,320,21.8 x 14.5 x 3.3 cm
Harper Collins,Alistair Maclean,,2007,7263961,9780007263967,Puppet On A Chain,"Rs. 1,475.00",Paperback,320,-
Courage Books,Running Press,,2004-11-10,762423315,978-0762423316,Quotable Women: A Celebration (Hardcover),"Rs. 2,070.00",Hardcover,96,23 x 22.2 x 1.5 cm
Viking,"Jatin Gandhi, Veenu Sandhu","Perceptions of Rahul Gandhi have ranged from the great Indian hope to that of an over-promoted dynastic scion. Everyone has an opinion, but the man himself remains opaque, his public persona confined to positions on political events, policies or programmes.Who is Rahul Gandhi the real man beneath the hype and the hatchet jobs? What are the ideas and influences that propel him? Who are his advisers? And how will he tackle his new responsibilities as his mother, Sonia Gandhi, makes way for him? Two young journalists, Jatin Gandhi and Veenu Sandhu, trace the evolution of the Rahul brand and explore the fascinating relationship between modernity and dynasty in this incisive political biography.",2012,670084808,9780670084807,Rahul ,"Rs. 1,735.00",Hardcover,296,-
S. Godage & Brothers (Pvt.) Ltd,Lalitha Somathilaka,,2012,.,9552096901,Rasika's Diary,Rs. 150.00,Book Binding,32,.
Author Publication,Carl Muller,A new Collection of short stories from Sri Lanka's most prolific writer,-,-,9789550495030,Read Me in Silence,Rs. 750.00,-,182,145mm X 210mm
Kandy Books,Nimal Sanderatne,,-,-,9789554076238,Reflections & Perspectives,Rs. 750.00,-,208,145mmX220mm
HarperPerennial,Eenesto Che Guevara,The writings of one of the greatest icons of the twentieth century -- revolutionary leader Ernesto 'Che' Guevara. These diaries follow on from the events recorded in 'The Motorcycle Diaries' and recount the experiences that would make Che a figure known around the world.,05 March 2009,7322313,9780007322312,Reminiscences Of The Cuban Revolutionary ,"Rs. 1,280.00",Paperback,336,-
General Printing,Prasanna W. Jayewardene,,-,-,9789555022521,Return To Heritage,Rs. 950.00,-,262,145mm X 215mm
-,-,,-,-,-,"Revelation X: The Bob Apocryphon, Hidden Teachings And Deuteroca","Rs. 2,695.00",-,-,-
-,-,,-,-,-,River Of Dreams,"Rs. 1,100.00",-,-,-
Orion,Eric Van Lustbader,"Bourne's enemies are gathering force. Severus Domna, a secret and ancient cabal, has called on its members with one objective: to vanquish the last person capable of destroying their bid to de-stabilize the world economy - Jason Bourne. But how can they possibly succeed where so many others have failed? By turning Bourne's most trusted friend into his greatest - and most deadly - enemy. Boris Karpov has reached the pinnacle of his career. He has taken over one of the most powerful security organisations in the world - but at a price. Karpov agreed to a devil's pact with the former head, and now he has to deliver. But it's far worse than anything Karpov could have imagined - he must kill his oldest friend, Jason Bourne. Now Bourne finds himself in a world where friend and foe go hand-in-hand. Bourne's journey will lead him down a path of brutal murder and destruction - one from which there is no escape...",-,-,9781409121398,Robert Ludlums the Bourne Dominion,Rs. 710.00,-,534,115mmX185
"St. Martins Griffin (March 6, 2002)",Lee Server,,-,312285434,978-0312285432,"Robert Mitchum: ""Baby I Don't Care""","Rs. 2,900.00",-,608,9.1 x 6.2 x 1.3
-,-,,-,-,-,Romantic Guitar Classics,Rs. 800.00,-,-,-
Sphere,Ruth Field,"A tough-love exercise programme for the terminally unmotivated. When all else has failed, RUN!",05 January 2012,184744542X,9781847445421,"Run, Fat Bitch, Run ",Rs. 520.00,Paperback,256,23 x 15.2 x 2.2 cm
HarperCollins India,Sampurna Chattarji,"She is running on dream walkways into the day that will dawn bright, like any other, hanging by a thread on a piece of news, a pendulum swinging from now to then, before to after, panic to peace to panic, capital to city, city to suburb, remembering to forgettingIn the course of twenty-four hours, nine characters across five cities are faced with a pressing need to examine their past. As each of them confronts the realities within, the world itself explodes into chaos, the disintegration of civic order mirroring the breakdown of individual sanities. A powerful first novel from a critically acclaimed poet, translator and fiction-writer, Rupture is a book in which every word, every emotion resonates with a heightened sense of intensity. Sampurna Chattarji brings to her writing a poetry and potency that is rare, and the sheer pace of the narrative pulls the reader in with its urgency.Author Bio: Sampurna Chattarji is the author of several books for young people, including The Greatest Stories Ever Told, Mulla Nasruddin and Three Brothers and the Flower of Gold. Her translation of Sukumar Rays poetry and prose, Abol Tabol: The Nonsense World of Sukumar Ray, was reissued in 2008 as a Puffin Classic under the title Wordygurdyboom! Her poetry collection, Sight May Strike You Blind, was published by the Sahitya Akademi in 2007 and reprinted in 2008. Her second novel, The Land of the Well, is forthcoming from HarperCollins India.",2009,8172237790,9788172237790,Rupture,"Rs. 1,865.00",Paperback,360,-
-,-,,-,-,-,S.C.I.E.N.C.E.,"Rs. 1,100.00",-,-,-
-,-,"Safe Baby Handling Tips [With Spinner] (Board Books)New parents are often overwhelmed--and befuddled--when it comes to caring for their bundle of joy. Luckily this resource saves the day with its hilarious ""do's and don'ts"" on baby care.New parents are often overwhelmed-and befuddled-when it comes to caring for their bundle of joy. Luckily ""Safe Baby Handling Tips"" saves the day with its hilarious ""do's and don'ts"" on baby care. Now incompetent parents everywhere can benefit from this indispensable guide, which also includes a unique Wheel of Responsibility(TM) to help moms and dads negotiate baby chores (and shirk diaper duty ) whenever they can. Makes baby-rearing a blast",-,-,-,Safe Baby Handling Tips [With Spinner] (Board Books),"Rs. 1,800.00",-,-,-
-,-,,-,-,-,Safe Baby Pregnancy Tips (Board Books),"Rs. 1,500.00",-,-,-
-,-,,-,-,-,Saint Misbehavin': Modern-Day Saints You've Never Heard Of (Hard,"Rs. 1,800.00",-,-,-
Harper Collins,Sam Bourne,,2008,7310889,9780007310883,SAM BOURNE - BOX SET,"Rs. 2,800.00",-,384,-
-,-,,-,-,-,Sanitation Details,"Rs. 13,150.00",-,-,-
Harper Collins,Alistair Maclean,"The gripping tale of sabotage at sea, from the acclaimed master of action and suspense.",05 September 2005,7226373,9780007226375,Santorini,"Rs. 1,475.00",Paperback,-,-
Scholastic India Pvt. Ltd.,Scholastic,"With its fresh and funky design and delightful illustrations, the Scholastic India Yearbook 2011 is indispensable for quizzes, projects or just to know all about the world!  ",-,8184776551,9788184776553,ScholasticYearbook - 2011,Rs. 900.00,Paperback,264,-
Godage,Jean Arasanayagam,,-,-,9789553033901,Secret Agendas,Rs. 850.00,-,168,145mm X 225mm
Harper collins,Agatha Christie,,2001,7299826,9780007299829,Secret Of Chimneys,"Rs. 1,180.00",Paperback,-,-
Perseus Books,Running Press,,2004-11-10,762423307,9780762423309,Secrets Of Serenity: Timeless Wisdom To Soothe The Soul (Hardcov,"Rs. 1,500.00",Hardcover,96,22.1 x 22.6 x 1.5 cm
Harper Collins,Martin Manser,The presenting secrets that experts and top professionals use.,-,7324472,9780007324477,Secrets Presenting,"Rs. 1,150.00",Paperback,128,-
Godage International,S Weeratunge,"The book is a short collection of didactic sayings in Sanskrit, selected at random from a variety of works, with introductory notes and an English translation. The author has intended to give some idea of the thought and wisdom, as reflected in the Sanskrit poets, to the English reading public. This book consists of sixteen chapters and it has a list of the sources of the sayings.",2002,9552051533,-,Selected Gems Of Wisdom In Sanskrit ,Rs. 500.00,Hardcover,84,-
Rama Brothers India Pvt Ltd,Geetanjali Mukherjee,,2008,8175812605,9788175812604,Selected Poems - Seamus Heaney PB,Rs. 245.00,Paperback,-,-
godage International publishers,A.T Darmapriya,The origin and the development of the free verse movement in sinhala poetry is inextricability linked with the socio culture upheavals in the 19th century. many changers occurred in sri lankan society after sri lanks became full fledged colony of the Birth empire in 1815.,2007,9553001645,-,SELECTED SRI LANKA MORDERN POETRY,Rs. 750.00,-,110,14*22
Rider,Deepak Chopra,"Deepak Chopra has made clear his conviction that it is within the potential of every human being to live an enriching, self-aware, magnificent life. But to reach that state of empowerment is a difficult task, calling for courage, will power and - often - guidance. In Self-Power, Chopra offers that guidance and encouragement, while inspiring his readers to take their lives into their own capable hands no matter what challenges they may confront--job loss, financial difficulties, relationship issues, health problems or spiritual questions.",2012,1846042860,9781846042867,Self Power: The Spiritual Solutions to Life's Greatest Challenges,"Rs. 2,160.00",Paperback,224,-
Search Press Ltd,Frances Mcnaughton,"Renowned sugarcrafter, Frances McNaughton, shows how to make beautiful, natural-looking sugar animals with realistic colouring, attitudes and expressions.",19 December 2011,184448744X,9781844487448,Sensational Sugar Animals,"Rs. 3,040.00",-,128,Paperback
-,-,,-,-,-,Seven Strategy Questions: A Simple Approach for Better Execution,"Rs. 4,500.00",-,-,-
-,-,,-,-,-,Seven Turns,"Rs. 1,100.00",-,-,-
University Of Kelaniya,L P N Perera,"This book, 'Sexuality in Ancient India' is a comprehensive study utilizing the texts of the Pali Vinayapitaka as its literary sources. This book includes chapters on Introduction, Data on Sex in the Pali Vinayapitaka, The Approach to Sex: Brahmacariya, The Early Buddhist Sangha and its Social Background, Data on Sex: Their Evidential Value, Ordinary Heterosexual Relationships, Hetero and Homosexual Deviations and Intersexuality, Further Deviations, Erotics, Ganikas and Prostituion, and Miscellaneous Sexual Phenomena. This book is a major contribution to the social anthropology of ancient India. As a source book its material is useful not only to the Indologist but also to students of social psychology, psycho-analysis, medicine and also of law.",1993,955904415X,-,Sexuality In Ancient India - A Study Based On The Pali Vinayapitaka ,Rs. 740.00,Hardcover,282,-
Rama Brothers India Pvt Ltd.-new Delhi,"Tilak, Raghukul",,2009,8175810688,9788175810686,Shakespeare Twelfth Night Study Guide Notes,Rs. 265.00,Paperback,-,-
Rama Brothers India Pvt Ltd,Paul Rajinder,,2009,8175811099,9788175811096,Shakespeares Macbeth,Rs. 430.00,Paperback,-,-
Hachette India,Rage Theatre Productions,,2012,9350094419,9789350094419,Sight Lines: Three Contemporary Indian Plays ,"Rs. 1,475.00",Paperback,256,-
Penguin UK,Rachel Carson,,2000-09-28,-,978-0141184944,Silent Spring,"Rs. 1,900.00",Paperback,-,-
Voyager,Raymond E. Feist,For nearly a year peace reigned the kingdom of Rillanon. But new challenges awaited Arutha the Prince of Krondor when Jimmy The Hand - youngest thief in the Guild of Mockers - came upon a sinister Nighthawk poised to assassinate him. What evil power raises the dead and makes corpses do battle with the living at the behest of the Guild of Death?,1986-11-20,586064176,9780586064177,Silverthorn,Rs. 900.00,Paperback,432,17.8 x 11.6 x 2.6 cm
HarperCollins,Derek Landy,,-,-,9780007326037,Skulduggery Pleasant : Death Bringer,"Rs. 1,300.00",-,602,125mm X 200mm
Harper Collins,Darren Shan,"More chills and thrills in Darren Shan's latest Demonata title, now in paperback. Let the Slawter commence!",07 January 2010,7358741,9780007358748,Slawter,"Rs. 1,160.00",Paperback,272,-
-,-,,-,-,-,Slow Train Coming,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Slow Train Coming,"Rs. 1,100.00",-,-,-
HarperCollins,Sylvester Stallone,,2005-6-2,60737875,978-0060737870,Sly Moves [Hardcover],"Rs. 2,530.00",Hardcover,224,23.2 x 19.4 x 2.6 cm
Orient,Gantenbein,"This title offers a good understanding of direct marketing and customer management principles straight from an expert, coupled with the use of Microsoft technologies. It is a solutions-oriented business book for Managers which delivers the essential knowledge and skills needed to plan and execute direct marketing campaigns and manage customers.",2005,8120318633,9788120318632,Smart Business Solutions-Direct Marketing & Cust ,"Rs. 1,300.00",Paperback,263,-
RANDOM HOUSE,Charles Duhigg,"From the author of the ""New York Times ""bestselling phenomenon ""The Power of Habit ""comes a fascinating new book that explores the science of productivity, and why, in today s world, managing ""how"" you think rather than ""what"" you think can transform your life. A young woman drops out of a PhD program and starts playing poker. By training herself to envision contradictory futures, she learns to anticipate her opponents missteps and becomes one of the most successful players in the world. A group of data scientists at Google embark on a four-year study of how the best teams function, and find that ""how"" a group interacts is more important than ""who"" is in the group a principle, it turns out, that also helps explain why ""Saturday Night Live"" became a hit. A Marine Corps general, faced with low morale among recruits, reimagines boot camp and discovers that instilling a bias toward action can turn even the most directionless teenagers into self-motivating achievers. The filmmakers behind Disney s ""Frozen"" are nearly out of time and on the brink of catastrophe until they shake up their team in just the right way, spurring a creative breakthrough that leads to one of the highest-grossing movies of all time. What do these people have in common? They know that productivity relies on making certain choices. The way we frame our daily decisions: the big ambitions we embrace and the easy goals we ignore: the cultures we establish as leaders to drive innovation: the way we interact with data: These are the things that separate the merely busy from the genuinely productive. At the core of ""Smarter Faster Better"" are eight key concepts from motivation and goal setting to focus and decision making that explain why some people and companies get so much done. Drawing on the latest findings in neuroscience, psychology, and behavioral economics as well as the experiences of CEOs, educational reformers, four-star generals, FBI agents, airplane pilots, and Broadway songwriters this painstakingly researched book explains that the most productive people, companies, and organizations don t merely act differently. They view the world, and their choices, in profoundly different ways. In""The Power of Habit, "" Pulitzer Prize winning journalist Charles Duhigg explained why we do what we do. In ""Smarter Faster Better, ""he applies the same relentless curiosity, deep reporting, and rich storytelling to explain how we can improve at the things we do. It s a groundbreaking exploration of the science of productivity, one that can help anyone learn to succeed with less stress and struggle, and to get more done without sacrificing what we care about most to become smarter, faster, and better at everything we do. Advance praise for ""Smarter Faster Better"" As he did in ""The Power of Habit, ""Duhigg melds cutting-edge science, deep reporting, and wide-ranging stories to give us a fuller, more human way of thinking about how productivity actually happens. Susan Cain, author of ""Quiet"" Duhigg uses engaging storytelling to highlight fascinating research and core principles that we can all learn and use in our daily lives. A masterful must-read for anyone who wants to get more (and more creative) stuff done. David Allen, author of ""Getting Things Done"" Duhigg has a gift for asking just the right question, and then igniting the same curiosity in the rest of us. In ""Smarter Faster Better"" he finds provocative answers to a riddle of our age. Jim Collins, author of ""Good to Great""""",2016-03-08,081299339X,9780812993394,Smarter Faster Better : The Secrets of Being Productive in Life and Business,"Rs. 5,350.00",Hard cover,400,-
