Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
HarperCollins,Wayne Gould,"Filling the Tube with many a feverish puzzle solver, Su Doku has attracted a startling number of devotees who eagerly begin their commute or leave early for lunch, puzzle in hand. Now, with Alpha Doku, solvers can turn their logic towards letters, satisfying their craving for a brisk, tantalizing mental exercise in a new and captivating way. Alpha Doku provides 100 puzzles in varying degrees of difficulty, in the same straight-forward, engaging structure of The Times Su Doku Books 1-5 series. However, solvers will work with the letters A-H, instead of the numbers 1-9. The Su Doku guru, Wayne Gould, has created this new puzzle collection. A figure of second-to-none Su Doku credibility, Gould sparked the craze when he brought the puzzles over from Japan and began setting them for The Times. Now, focusing his powers in a slightly different direction, Gould aims to create another mind-bending habit for puzzle solvers everywhere. Given a new spin and fresh look, Alpha Doku promises to be both innovative and as challenging and enjoyably addictive as the original.",2008,7281536,9780007281534,Alpha Doku,Rs. 720.00,Paperback,176,-
-,-,,-,-,-,Ambani & Sons (Paperback),"Rs. 2,150.00",-,-,-
-,-,,-,-,-,"America by Heart: Reflections on Family, Faith, and Flag [Hardco","Rs. 3,500.00",-,-,-
Harper Collins Publishers Ind Ltd,Doris Pooser,"Chateau Marine, her home on marine drive, is famous for its evenings mehfils and for the dream it nurtures, regular visitors includes Dilip Kumar, etc...it also is the home of her daughter Fatima, who will become known famously as Nargis.",2007,8172236980,9788172236984,An Indian Woman's Guide to Success,"Rs. 2,430.00",Hardcover,464,-
-,-,,-,-,-,An Innocent Man,"Rs. 1,100.00",-,-,-
"John Wiley & Sons, Inc.",David William Brown,"This book is a very general and accessible introduction to Object Oriented Analysis. It contains extensive pedagogy and incorporates patient explanations, making it ideal for beginners. Incorporation of real-world examples, case studies, and in depth theory and skills for practical application makes this book very user-friendly. Contents same as US/UK editions.",2004,981253105X,9789812531056,An Introduction to object oriented analysis Objects & UML in Plain English,Rs. 910.00,Paperback,704,-
KESHAWA PUBLISHERS & DISTRIBUTORS,ANGU RAJENDRAN,,-,-,9551277154EX,ANCIENT SRI LANKA TIMES-PANDUKABHAYA,Rs. 200.00,-,16,-
KESHAWA PUBLISHERS & DISTRIBUTORS,ANGU RAJENDRAN,,-,-,9551277147EX,ANCIENT SRI LANKA TIMES-VIJAYA ,Rs. 200.00,-,16,-
Tata Mcgraw Hill,Shema M,"Put an end to hacking. Stop hackers in their tracks using the tools andtechniques described in this unique resource. Organized by category, Anti-HackerToolkit provides complete details on the latest and most critical securitytools, explains their function, and demonstrates how to configure them to getthe best results. New and updated case studies in each chapter illustrate how toimplement each tool in real-world situations. Protect your network and preventdisasters using the cutting-edge security tools and exclusive information inthis completely up-to-date volume.",2004,70586896,9780070586895,Anti-Hacker Tool Kit (with CD),"Rs. 1,755.00",Paperback,808,-
HARPER COLLINS PUBLISHERS,Lawrence E. Joseph,"Is the world really coming to an end in 2012? According to the Bible, I Ching and the Mayans it is. And, wouldnt you know it, there are already several rock bands, including Houstons very own Downfall 2012, getting ready to party. ""Apocalypse 2012"" is cheerful sceptic Laurence E Josephs investigation into the 2012 Doomsday phenomenon. With its mixture of hard science, investigative reportage and cast of colourful characters, ""Apocaplyse 2012"" is Fast Food Nation for the terminally paranoid. Journalist and science writer, Laurence E. Joseph is our incisive and witty guide unravelling the religious, astrological and mystical prophecies behind the potentially earth-shattering events of 2012. And, at the core of this book, is Josephs investigation into the growing number of scientific researchers trying to figure out why conditions around our planet are becoming so bizarre. His adventures include: hooking up with the Voluntary Human Extinction Movement whose cheerful motto Live Long and Die Out is now available as a tattoo: meeting the scientists who are trying to figure out why the present state of the sun is so worrisome - is it just going through a phase or is something major going on? Visiting Yellowstone National Park to see whether the seething supervolcano could soon stop civilisation dead in its tracks: exploring the possibility of a terrorist attack that could plunge the whole Northern Hemisphere into the equivalent of a nuclear winter. So, if 2012 really is going to be a year of unprecedented catastrophe, what can we do to increase our odds of surviving it? Should we head for the Kentucky hills or hightail it to Western Africa, where an Australian Doomesday 2012 enthusiast is already staking his claim, or perhaps wed be better blasting off for solar systems unknown?",19 February 2007,7227388,9780007227389,Apocalypse 2012: An optimist investigates the end of civilization,"Rs. 5,500.00",Paperback,320,23.2 x 15.2 x 2.8 cm
Laurence King,Kester  Rattenbury,,-,1856694925,9781856694926,Architects Today,"Rs. 2,750.00",Hardcover,240,21.5 x 19.5 cm
-,-,,-,-,-,Arnold: Education of a Body Builder (Paperback),"Rs. 3,300.00",-,-,-
Shroff/no Starch Press,Randall Hyde,,2003,8173668078,9788173668074,Art of Assembly Language W/CD,"Rs. 1,735.00",Paperback,928,-
Allen Lane,"Thomas R. Trautmann, Gurcharan Das","Ascribed to Kautilya (commonly identified as the prime minister of Chandragupta Maurya) and dating back more than 2,000 years, the Arthashastra is the world s first manual in political economy. It has a pre- eminence in Indian thought that is akin to that of Machiavelli s The Prince in Europe.",2012,670085278,9780670085279,Arthashastra: The Science Of Wealth,"Rs. 1,485.00",Hardcover,208,-
Atlantic,William Shakespeare,,2003,812480060X,9788124800607,As You Like It,Rs. 720.00,Paperback,140,-
Harper Collins,Robin Hobb,The gripping finale to Robin Hobb's classic Farseer trilogy.,Mar 1998, 000648011X,9780006480112,Assassin's Quest,Rs. 905.00,Paperback,848,17.4 x 11.2 x 5.4 cm
Harper Collins Publ. Uk,Raymond E. Feist,"The conclusion of the bestselling Demon War series, which began with Rides a Dread Legion",2011,7264720,9780007264728,At The Gates of Darkness,"Rs. 1,865.00",Paperback,336,7.8 x 5.08 x 0.83 inches
-,-,,-,-,-,"Ayurveda, the Science of Self-healing: A Practical Guide: Scienc","Rs. 1,700.00",-,-,-
-,-,,-,-,-,B-Witched,"Rs. 1,100.00",-,-,-
LOTUS PRESS,VIJAYA KUMAR,,-,8183821227,-,BABY NAMES FOR BOYS,Rs. 300.00,-,210,-
LOTUS PRESS,VIJAYA KUMAR,,-,8183821235,-,BABY NAMES FOR GIRLS ,Rs. 300.00,-,196,-
CBS Publishers & Distributors,I E Irodov,"The main idea behind this book is to amalgamate the description of the basic concepts of the theory and the practical methods of solving problems in one book. Therefore, each chapter contains first a description of the theory of the subject being considered (illustrated by concrete examples) and then a set of selected problems with solutions. The problems are closely related to the text and often complement it.",2000,8123903065,9788123903064,Basic laws of Electromagnetic,Rs. 215.00,Paperback,309,-
Titan Books Ltd,"Doug Moench,Chuck Dixon","The Dark Knight's greatest enemies have all simultaneously escaped from Arkham Asylum. Batman reaches his physical breaking point as he takes on the Joker, the Mad Hatter, Poison Ivy, Killer Croc, the Riddler and Scarecrow, one after another. But things get much worse, when Bane, the man behind all of this madness, confronts an exhausted Batman.",27 January 2012,857688588,9780857688583,Batman - Knightfall Part One Broken Bat,"Rs. 2,815.00",Paperback,288,-
Viking,"Jim Masselos, Narayani Gupta",,2011,670085642,9780670085644,Beato's Delhi: 1857 And Beyond,"Rs. 3,960.00",Hardcover,258,-
-,-,,-,-,-,Behind Enemy Lines: The Autobiography of Britain's Most Decorate,"Rs. 3,500.00",-,-,-
HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Chloe and Riley are in a battle against their best friends to win top grade on their business class project. It starts as a friendly competition, but soon turns into a bitter and ugly rivalry. Will it ruin their friendships forever?",2004,7144571,9780007144570,Best Friends Forever (So Little Time) ,Rs. 850.00,Paperback,128,-
HarperCollins UK Original,Khushwant Singh,"The Indian short story is extraordinary in its ability to stick to the traditional rules of the craft and still demonstrate remarkable originality. It revolves around a limited number of characters, confines itself in time and space, and has a well-plotted narrative that drives its central theme. Within the traditional framework, however, creativity flowers, and what emerges is a story that is marked with freshness and imagination. This volume is chock-full with such stories, written by authors well known in their regional languages as well as those who made names for themselves in English literary circles. Carefully selected by Khushwant Singh, India s literary giant, these pieces represent the best of Indian writing from around the country.",2004,8172234643,9788172234645,Best Indian Short Stories (Volume II) ,"Rs. 1,665.00",Paperback,272,7.72 x 5.08 x 0.75 inches
Harper Collins,Kushwant Singh,"The Indian short story is extraordinary in its ability to stick to the traditional rules of the craft and still demonstrate remarkable originality. It revolves around a limited number of characters, confines itself in time and space, and has a well-plotted Narrative that drives its central theme. Within the traditional framework, however, creativity flowers, and what emerges is a story that is marked with freshness and imagination. This volume is chock-full with such stories, written by authors well known in their regional languages as well as those who made names for themselves in English literary circles. Carefully selected by Khushwant Singh, India's literary giant, these pieces represent the best of Indian Writing from around the country.",2006,8172236328,9788172236328,Best Indian Short Stories: Vol.1,"Rs. 1,500.00",Paperback,267,7.83 x 5.35 x 0.87 inches
-,-,,-,-,-,Bloodlands: Europe between Hitler and Stalin [Hardcover],"Rs. 4,050.00",-,-,-
BMJ PUBLISHING GROUP LTD,-,,-,853699590,-,BNF FOR CHILDREN ,"Rs. 4,300.00",-,855,-
Manjul Publishing House Pvt. Ltd.,"Allan, Barbara Pease",,2012,8183222471,9788183222471,Body Language In The Work Place,"Rs. 1,075.00",Paperback,188,-
Viking,Bhaichand Patel,"Hindi cinema has cast a seductive spell over its spectators for close to a century now. Visually arresting, dynamic in outlook and pulsating with life, Bollywood has entertained and enthralled moviegoers over the years with its melodious music, its colourful drama and its lively plotlines. At the very heart of the Bollywood mystique is the towering presence of its galaxy of stars-demigods and divas who have shaped and defined popular cinema, and popular imagination, from one generation to the next. Bollywood's Top 20 is an exciting collection of brand new essays by renowned writers that pays tribute to Hindi popular cinema's biggest stars of all time from Ashok Kumar, Dilip Kumar, Dev Anand, Raj Kapoor, Nargis and Madhubala to Rajesh Khanna, Amitabh Bachchan, Aamir Khan, Shah Rukh Khan, Kajol and Kareena Kapoor-who are indispensable to the Bollywood pantheon. Each piece offers unique insights into the lives of Bollywood's most exceptional legends their struggles and triumphs, downfalls and scandals, and the inscrutable x-factor that made them carve a niche for themselves in an industry bursting with talented professionals and desperate hopefuls.",2012,670085723,9780670085729,Bollywood's Top 20: Superstars Of Indian Cinema,"Rs. 1,980.00",Hardcover,304,-
-,-,,-,9558801048,-,BORN BE A HINDU,"Rs. 2,000.00",-,213,-
-,-,,-,-,-,Born in the USA,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Born to Run,"Rs. 1,100.00",-,-,-
Penguin Books Ltd (UK),RUCHIR SHARMA,"The argument of BREAKOUT NATIONS is that the astonishingly rapid growth over the last decade of the world's celebrated emerging markets is coming to an end. The era of easy money and easy growth is over. China, in particular, will soon slow, but its place will not necessarily be taken by Brazil, Russia or India, all of which Ruchir Sharma shows have weaknesses and difficulties often overlooked in the inflated expectations and emerging markets mania of the past decade. To identify the economic stars of the future, he says, we should abandon the habit of simply extrapolating from general global trends and look at emerging markets individually. The new 'breakout nations' will probably spring from the margins - even from the shadows. Sharma identifies which they are most likely to be, and why.",2013-05-01,241957818,9780241957813,BREAKOUT NATIONS ,"Rs. 2,100.00",Paperback,336,-
VERMILION,NAIA EDWARDS,,-,-,91923433,BREASTFEEDING AND BOTTLE-FEEDING ,Rs. 450.00,-,64,-
Business Standard Ltd. - New Delhi,Barua A Et. Al.,"Thought-provoking and informed, Business Standard India 2012 brings together some of the best known names from the world of finance and economics and social and political economy in its fifth annual collection of essays. Engagingly written, the fifteen original essays in this volume look beyond the established and the conventional as they explore new ideas, break some myths and cast a discerning eye on issues that have dominated the year for India.",-,9380740065,9789380740065,Business Standard India 2012,"Rs. 1,870.00",Hardcover,276,-
